news_id,ticker,title,sapo,publish_time,Target_Date,open,high,low,close,volume
176,VIC,SDI hủy đăng ký giao dịch trên sàn UPCom vào ngày 27/12/2019 để hoán đổi cổ phiếu VIC,"Sau khi hoán đổi cổ phiếu, Tập đoàn Vingroup sẽ trở thành chủ sở hữu duy nhất sở hữu 100% vốn điều lệ của SDI.",2019-12-11 17:24:00,2019-12-12,51.55,51.55,51.19,51.55,334050.0
175,VIC,"VIC, VNM, BVH, SCR, SMC, TTE, NTP, TTB, SKG, CTC, NLS, PHN, KTT, TMW: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2019-12-21 09:28:00,2019-12-21,51.46,51.46,50.79,51.42,591380.0
174,VIC,"Khối ngoại bán ròng hơn 86 tỷ đồng trong tuần hai quỹ ETF giao dịch, tập trung 'xả' VIC",MBB và VNM là hai cổ phiếu được khối ngoại mua ròng mạnh nhất. CCQ ETF nội E1VFVN30 cũng được mua ròng lên đến hơn 102 tỷ đồng.,2019-12-21 16:08:00,2019-12-22,51.46,51.46,50.79,51.42,591380.0
173,VIC,"Khối ngoại mua ròng năm thứ 3 liên tiếp trên HoSE với 6.700 tỷ đồng, VIC và CCQ E1VFVN30 là tâm điểm",Khối ngoại sàn HoSE mua ròng 3 năm liên tiếp với tổng giá trị gần 76.000 tỷ đồng.Khối ngoại sàn HNX bán ròng lên đến 3.070 tỷ đồng sau 3 năm qua. VIC trong năm 2019 được khối ngoại mua ròng trở lại 5.300 tỷ đồng trong khi trước đó bị bán ròng trong 5 năm liên tiếp với tổng giá trị 21.600 tỷ đồng.,2020-01-01 10:24:00,2020-01-01,51.06,51.1,50.66,51.1,440280.0
172,VIC,"Khối ngoại bán ròng gần 700 tỷ đồng trong tuần đầu tháng 2, tập trung 'xả' VIC","Đứng đầu danh sách mua ròng của khối ngoại sàn HoSE tuần đầu tháng 2 là HDB với giá trị hơn 112 tỷ đồng.Trái ngược với 2 cổ phiếu cùng họ ""Vin"" là VRE và VHM thì VIC bị khối ngoại bán ròng rất mạnh và lên đến 192 tỷ đồng.",2020-02-08 16:30:00,2020-02-09,50.22,50.7,50.22,50.53,192700.0
171,VIC,"CTG, VIC đồng loạt giảm điểm, VN-Index thất bại trước mốc 940 điểm","Sự suy yếu của một vài cổ phiếu lớn, tiêu biểu như CTG đảo chiều giảm 550 đồng (-2%), VIC giảm 1.400 đồng hay BID lùi về tham chiếu đã khiến đà tăng thị trường thu hẹp đáng kể.",2020-02-12 09:57:00,2020-02-12,50.39,50.39,49.77,49.77,452790.0
170,VIC,Cổ phiếu VIC hoán đổi SDI được giao dịch từ 24/2,"Cổ phiếu VIC chốt phiên 19/2 tại mức giá 105.000 đồng/cp, giảm từ vùng giá 115.000 đồng/cp trong một tuần qua. Tổng số lượng chứng khoán VIC sau thay đổi niêm yết đạt hơn 3,38 tỷ cổ phiếu.",2020-02-20 14:25:00,2020-02-20,47.11,48.88,46.66,48.88,353570.0
169,VIC,"Chứng khoán bất ngờ tăng rực rỡ phiên chiều, VIC tăng một mạch gần 5%",Thanh khoản sàn HoSE đạt 3.300 tỷ đồng phiên hôm nay.,2020-02-20 15:02:00,2020-02-21,48.26,48.88,47.91,48.84,309060.0
1168,TTF,"Gỗ Trường Thành (TTF) chuyển nhượng hơn 99% vốn tại công ty lâm nghiệp, dự thu hơn 50 tỷ đồng","Giá chuyển nhượng Gỗ Trường Thành (TTF) đưa ra không thấp hơn 8.500 đồng/cp, tương đương số tiền thu về vào khoảng 50,66 tỷ đồng.",2020-02-25 22:43:00,2020-02-26,2.79,2.85,2.74,2.75,439360.0
168,VIC,"Bộ 3 VIC, VHM, VRE hồi phục mạnh trong phiên ATC, VN-Index thu hẹp đà giảm xuống còn 26 điểm","Bộ 3 VIC, VHM, VRE đồng loạt hồi phục về (sát) tham chiếu đã góp phần thu hẹp đáng kể đà giảm thị trường.",2020-03-11 09:53:00,2020-03-11,43.55,43.55,40.48,43.11,1049580.0
167,VIC,"Cổ phiếu ""xanh mướt"" cuối phiên, VnIndex giảm nhẹ do VIC, VHM, VRE và SAB","Hàng loạt cổ phiếu đã nhận được sự bổ trợ của dòng tiền bắt đáy và hồi phục mạnh từ giá sát sàn lên tham chiếu, thậm chí nhiều cổ phiếu tăng điểm.",2020-03-17 14:58:00,2020-03-17,39.77,41.02,38.93,39.33,681330.0
166,VIC,"Thị trường “xanh vỏ đỏ lòng”, VN-Index tăng gần 2 điểm với lực kéo từ VIC","Trên TTCK Phái sinh, cả 4 HĐTL đều đóng cửa với basis âm từ 27,23 đến gần 35 điểm cho thấy tâm lý giới đầu tư đang khá bi quan với thị trường.",2020-03-27 09:42:00,2020-03-27,36.44,38.84,35.33,38.57,1149310.0
165,VIC,"Khối ngoại bán ròng hơn 1.200 tỷ đồng trong tuần 30/3-3/4, tâm điểm MSN và VIC",Khối ngoại bán ròng 10 tuần liên tiếp trên cả HoSE và HNX với tổng giá trị lần lượt là 11.360 tỷ đồng và 1.242 tỷ đồng.MSN tiếp tục là cổ phiếu bị khối ngoại bán ròng mạnh nhất trong tuần giao dịch 30/3 - 3/4.SVC và VHL đều bị khối ngoại bán ròng nhưng hầu hết đến từ giao dịch thoả thuận.,2020-04-04 12:13:00,2020-04-04,40.88,43.24,40.57,43.24,2698260.0
1167,TTF,"Hậu kiểm toán, lợi nhuận 2019 của HDG, VGT và TTF chênh lệch cả trăm tỷ đồng",Trong khi HDG và VGT lãi điều chỉnh tăng thì TTF báo lỗ tăng thêm 122 tỷ đồng và bị kiểm toán nghi ngờ về khả năng hoạt động liên tục.,2020-04-10 08:16:00,2020-04-10,1.95,1.98,1.86,1.98,974170.0
